Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Polybutylene Fumarate (PBF),45.64,48.38,76.67,168.48,69.76,76.17,86.03,50.36
Polylactic Acid (PLA) Blends,13.73,57.35,172.96,220.43,93.31,82.75,55.32,74.03
Seaweed/Kelp-based Polymer,9.02,95.2,160.36,167.43,74.73,78.02,60.26,40.38
Alginate,92.0,59.25,97.26,223.6,62.64,94.88,60.35,45.94
Seaweed/Kelp-based Polymer,80.79,79.04,217.77,218.41,96.89,41.91,55.28,91.59
Polybutylene Adipate Terephthalate (PBAT),68.39,30.96,45.66,239.27,90.34,53.75,59.54,36.31
PHA (Polyhydroxyalkanoates),42.98,105.41,165.17,247.82,55.14,55.43,96.32,56.19
Recycled PET (rPET),22.12,59.47,79.17,166.41,99.95,47.78,84.6,46.62
Jute Fiber Composite,20.63,88.89,138.89,217.24,85.51,41.67,68.49,22.96
Polybutylene Succinate (PBS),28.93,97.0,106.06,179.49,60.11,65.1,90.54,40.97
Maleic Anhydride Grafted (MAG) Polymers,55.4,42.55,245.24,157.85,63.77,88.74,76.57,54.52
Chitosan,70.04,113.82,129.37,178.99,85.39,96.91,60.71,77.05
Polyhydroxyvalerate (PHV),65.23,85.48,244.38,158.41,89.54,40.8,94.71,79.18
Recycled PET (rPET),31.56,65.68,74.93,209.27,63.85,87.97,69.71,81.8
Recycled PP,91.31,39.66,195.47,150.58,64.71,88.07,86.21,77.93
Jute Fiber Composite,72.11,119.91,183.51,211.82,67.09,58.45,67.51,21.61
Cellulose Acetate,55.86,100.14,214.2,221.08,80.91,39.48,77.1,42.18
Polybutylene Fumarate (PBF),60.94,42.38,178.0,237.35,60.66,99.32,91.58,21.55
PHA (Polyhydroxyalkanoates),43.93,56.07,175.35,164.95,57.45,76.58,61.38,77.73
Recycled PP,28.71,105.9,170.27,229.97,84.75,98.79,98.96,93.08
Chitosan,38.29,93.87,246.49,236.21,89.51,64.89,57.42,67.07
Natural Fiber Composite,73.87,101.27,68.6,235.55,76.29,58.87,78.66,51.48
Chitosan,8.05,67.0,22.08,237.61,69.78,48.81,96.15,77.29
Polybutylene Fumarate (PBF),17.06,96.06,174.32,245.3,73.02,98.88,97.51,80.41
Recycled LDPE,10.85,61.22,55.5,197.92,70.95,49.22,64.83,77.52
Polycaprolactone (PCL),10.39,42.72,174.66,177.23,98.1,33.62,60.79,66.61
Polybutylene Succinate (PBS),82.51,87.21,90.13,221.38,88.98,66.85,87.38,44.11
Recycled HDPE,69.07,123.47,25.19,174.47,62.38,57.64,56.12,25.44
Cellulose Acetate,48.76,53.21,195.9,200.88,70.75,49.77,76.42,85.85
Recycled PET (rPET),15.44,69.08,27.14,208.28,78.34,75.15,90.67,84.29
Alginate,50.3,91.58,67.67,221.19,81.62,56.77,79.86,63.41
Polybutylene Adipate Terephthalate (PBAT),48.7,77.59,94.06,225.63,74.74,59.35,62.81,62.29
Polyhydroxyvalerate (PHV),22.11,109.47,46.2,249.82,90.98,33.57,76.51,89.44
Polylactic Acid (PLA) Blends,45.19,100.84,229.69,241.61,88.96,72.06,96.39,57.86
Recycled PET (rPET),42.06,26.57,161.13,177.02,76.5,40.3,82.47,94.37
Recycled PP,61.3,125.83,220.72,240.88,93.09,46.54,87.24,43.89
Nano-cellulose Composite,63.0,99.86,175.28,241.68,88.18,80.76,69.6,66.59
PHA (Polyhydroxyalkanoates),10.79,111.63,248.11,244.86,89.48,53.3,62.83,89.77
Nano-cellulose Composite,39.94,89.17,138.41,220.18,97.93,43.1,65.91,51.07
Paper-based Composite,62.19,110.83,27.63,209.6,65.16,71.26,78.62,64.92
Recycled LDPE,51.32,32.28,52.8,187.83,65.21,46.61,67.03,36.26
Thermoplastic Starch (TPS),82.61,57.13,153.28,188.89,94.73,50.43,79.02,44.44
Chitosan,65.09,112.95,96.72,211.89,89.18,74.25,86.62,76.91
Maleic Anhydride Grafted (MAG) Polymers,21.2,41.7,41.53,229.18,96.51,82.31,87.84,41.76
Bagasse Fiber Composite,13.03,28.67,70.96,179.38,55.5,82.3,61.74,82.36
Jute Fiber Composite,63.65,103.63,126.52,207.19,82.32,64.79,88.57,71.27
Blended Starch,9.13,108.63,136.77,196.29,59.37,62.89,85.01,21.32
Hemp Fiber Composite,58.64,37.58,234.63,206.71,76.44,85.56,54.75,64.85
Natural Fiber Composite,90.02,110.62,36.31,207.75,59.9,45.13,56.9,34.34
Jute Fiber Composite,57.73,92.93,99.08,239.64,58.58,42.35,83.8,61.55
Blended Starch,41.14,75.33,133.92,156.37,53.08,77.2,71.77,34.52
Cellulose Acetate,63.73,108.08,41.62,208.05,82.44,59.85,60.89,86.91
Cork Composite,47.35,64.68,176.63,231.99,69.55,80.28,56.23,56.32
Cork Composite,55.08,40.89,136.03,208.78,57.5,49.45,61.5,50.32
Nano-cellulose Composite,90.13,50.49,122.99,192.2,67.83,54.09,98.05,72.86
Recycled PET (rPET),40.96,73.75,169.18,179.36,60.52,92.97,87.52,55.94
Recycled HDPE,91.87,76.51,82.64,247.76,97.23,60.67,78.37,47.0
PLA (Polylactic Acid),86.93,105.47,94.74,164.22,67.7,72.18,97.32,47.45
Recycled HDPE,24.11,103.97,53.23,182.26,68.36,39.25,82.56,62.34
Polybutylene Adipate Terephthalate (PBAT),12.92,81.8,138.08,188.61,92.39,44.16,87.43,20.84
Polycaprolactone (PCL),15.7,102.85,102.52,196.63,83.27,34.44,67.15,70.85
Thermoplastic Starch (TPS),8.39,40.66,76.18,204.24,86.23,60.86,81.18,82.51
Hemp Fiber Composite,15.14,25.7,44.31,229.45,82.71,99.25,60.77,94.92
Polylactic Acid (PLA) Blends,67.25,112.66,20.46,227.65,97.44,91.42,72.73,90.07
Recycled PET (rPET),13.08,28.39,60.44,162.21,62.33,75.04,55.72,33.48
Bagasse Fiber Composite,35.02,46.46,73.15,216.28,99.48,90.55,64.12,44.04
Chitosan,81.58,93.83,129.08,238.8,91.97,72.4,57.63,77.92
Jute Fiber Composite,8.84,63.64,71.63,154.32,80.48,57.08,71.96,68.97
Coconut Coir Composite,78.88,112.94,207.15,218.61,83.96,43.8,92.81,23.4
Polybutylene Adipate Terephthalate (PBAT),31.73,51.87,126.42,195.44,83.32,76.41,71.51,74.09
Polycaprolactone (PCL),17.24,21.66,161.6,197.67,55.27,45.13,92.29,90.6
Polybutylene Adipate Terephthalate (PBAT),68.46,52.16,63.87,249.06,62.86,60.39,84.27,67.84
Recycled PP,62.46,81.45,112.79,159.72,98.17,88.15,77.54,59.62
Coconut Coir Composite,84.46,60.11,156.65,156.72,77.88,40.79,65.05,47.66
PLA (Polylactic Acid),71.86,76.89,88.1,239.96,70.47,40.77,96.43,37.9
Blended Starch,77.91,112.97,94.01,197.55,88.7,47.26,56.68,73.71
Mycelium-based Material,31.75,116.76,204.74,180.84,77.41,69.53,85.75,76.31
Nano-cellulose Composite,22.49,48.49,211.74,209.1,53.13,49.12,82.65,38.43
Mycelium-based Material,73.23,69.21,140.24,187.36,87.47,66.22,74.4,65.87
Recycled PP,78.21,78.39,225.66,199.53,87.28,52.53,65.21,55.73
Thermoplastic Starch (TPS),94.47,120.63,188.12,205.14,60.34,66.42,73.93,44.61
Mycelium-based Material,43.31,125.85,28.0,219.34,97.94,50.88,94.17,49.74
Polybutylene Adipate Terephthalate (PBAT),39.71,45.27,146.48,169.56,63.14,98.64,92.52,61.57
Recycled PP,75.52,97.17,178.98,229.59,74.24,65.5,97.32,73.31
Nano-cellulose Composite,36.95,60.33,142.11,234.87,57.95,82.57,68.3,82.02
Paper-based Composite,89.18,21.27,210.51,167.09,81.16,79.64,71.93,30.23
Polycaprolactone (PCL),82.78,21.39,85.7,199.13,70.33,65.36,55.06,41.35
Paper-based Composite,44.76,69.04,30.39,182.68,69.28,48.24,97.39,92.6
Polylactic Acid (PLA) Blends,73.25,71.97,163.9,172.52,91.78,66.73,69.29,36.45
Bagasse Fiber Composite,73.58,22.79,186.74,182.15,52.95,78.31,72.71,24.6
Gelatin,15.91,92.94,194.83,220.84,90.4,63.27,95.78,27.13
Recycled PP,86.68,51.45,17.6,248.07,79.64,37.57,78.32,89.38
Thermoplastic Starch (TPS),51.51,79.53,173.24,237.6,99.34,33.22,80.13,27.24
Recycled PET (rPET),79.95,52.18,19.87,154.8,80.5,54.3,62.27,75.7
Chitosan,35.11,38.06,197.07,160.97,55.13,42.22,77.04,67.94
Recycled PP,86.06,63.4,180.23,190.94,54.91,93.62,96.25,72.96
Recycled PP,41.24,44.94,148.34,242.03,94.45,43.96,79.79,74.24
Chitosan,7.74,76.88,133.99,153.19,92.46,58.81,65.88,20.39
Jute Fiber Composite,86.93,41.4,183.05,195.51,68.93,80.42,55.63,80.47
Cellulose Acetate,14.86,74.09,28.44,249.69,81.86,87.45,69.6,46.18
Nano-cellulose Composite,35.05,37.03,210.56,183.86,75.76,64.48,80.42,54.55
Recycled LDPE,90.89,91.26,62.29,244.2,98.44,44.32,56.15,84.9
PHA (Polyhydroxyalkanoates),90.94,100.02,127.28,233.05,97.62,50.42,82.13,37.98
Polylactic Acid (PLA) Blends,57.55,32.07,129.4,151.68,99.23,60.49,78.17,92.64
Starch-based Polymer,62.72,69.81,197.62,174.92,93.66,56.79,90.08,82.78
Gelatin,46.48,27.89,60.35,168.47,95.7,55.71,55.52,31.6
Paper-based Composite,32.74,83.57,85.44,186.44,62.82,40.97,89.96,88.91
Cellulose Acetate,35.88,48.33,170.83,238.96,91.97,94.11,78.06,28.83
PHA (Polyhydroxyalkanoates),66.32,76.12,112.0,157.52,86.17,34.02,71.17,67.56
Mycelium-based Material,73.39,75.05,85.23,168.18,98.23,61.92,98.41,94.86
Recycled HDPE,76.86,118.01,161.03,155.57,79.63,98.66,61.53,32.53
Recycled PP,76.68,78.39,35.34,242.95,56.55,76.86,78.99,69.91
Thermoplastic Starch (TPS),14.85,81.97,200.6,162.39,80.88,56.17,68.9,52.79
Polybutylene Succinate (PBS),50.55,62.82,138.32,220.75,85.11,41.93,78.36,67.36
Chitosan,11.88,120.62,63.41,189.86,62.97,97.54,79.49,74.23
Starch-based Polymer,55.43,102.47,111.0,214.23,71.22,32.95,58.3,32.69
Recycled HDPE,45.87,50.55,45.8,194.54,80.93,78.33,84.48,84.88
Thermoplastic Starch (TPS),85.37,109.55,159.9,159.0,70.27,91.85,83.26,76.32
PLA (Polylactic Acid),37.85,66.07,172.29,156.8,70.31,33.71,89.44,59.3
Polylactic Acid (PLA) Blends,17.14,107.91,110.24,180.57,58.82,81.31,58.35,29.55
Coconut Coir Composite,19.44,107.3,94.83,158.78,97.19,99.92,67.81,34.04
Recycled PET (rPET),74.2,40.35,214.7,210.98,88.15,75.5,83.98,64.3
Starch-based Polymer,61.51,94.44,150.38,153.58,52.56,60.2,60.46,69.42
PHA (Polyhydroxyalkanoates),15.73,51.1,171.75,184.27,88.87,91.46,85.23,42.91
Hemp Fiber Composite,14.23,51.82,44.97,213.94,87.64,69.68,56.9,86.37
Thermoplastic Starch (TPS),68.84,51.7,182.63,191.51,52.96,82.96,69.54,29.74
Cellulose Acetate,13.22,97.02,119.48,181.87,70.06,71.97,92.98,73.95
Bagasse Fiber Composite,79.54,44.68,101.17,196.33,81.32,34.6,89.66,76.5
Blended Starch,69.3,20.51,233.41,184.06,74.01,46.49,83.73,54.96
Gelatin,13.98,95.93,27.67,232.25,89.45,37.36,94.07,61.57
Recycled PET (rPET),14.29,38.49,60.97,156.27,72.71,39.25,86.68,86.1
Coconut Coir Composite,94.13,31.44,103.13,199.44,59.81,33.05,77.99,48.58
Gelatin,39.91,45.49,91.15,197.56,98.88,60.64,99.07,79.9
Blended Starch,39.59,60.52,135.01,181.01,64.0,44.15,86.02,63.75
Thermoplastic Starch (TPS),78.74,70.66,109.21,208.53,86.59,90.19,81.74,76.29
Recycled LDPE,90.64,25.12,200.25,240.57,59.3,83.0,72.93,33.41
Polycaprolactone (PCL),94.07,122.89,195.48,153.34,68.13,70.98,95.53,73.46
Recycled LDPE,73.48,96.02,196.51,166.49,73.5,65.25,67.74,47.42
PHA (Polyhydroxyalkanoates),40.09,54.54,101.8,186.87,61.63,49.4,54.62,47.23
Recycled LDPE,14.17,54.06,110.73,224.89,73.87,64.3,63.21,56.27
Maleic Anhydride Grafted (MAG) Polymers,75.58,67.77,184.31,244.28,59.97,75.6,59.22,56.81
Polybutylene Fumarate (PBF),56.22,86.54,44.19,170.63,79.05,85.19,68.81,60.24
Polyhydroxyvalerate (PHV),44.34,35.87,215.2,182.75,84.03,37.55,92.03,30.05
Poly(3-hydroxybutyrate) (PHB),87.02,40.36,142.2,211.37,55.47,80.18,84.04,24.02
Starch-based Polymer,16.62,111.16,214.41,202.44,93.88,82.51,61.94,35.66
Recycled HDPE,50.39,47.47,201.5,198.35,61.29,70.01,90.33,61.24
Seaweed/Kelp-based Polymer,7.79,60.55,102.98,182.12,63.2,46.57,77.29,72.56
Polyhydroxyvalerate (PHV),48.27,112.41,38.87,205.61,83.91,68.66,77.68,66.15
Thermoplastic Starch (TPS),11.76,90.43,231.4,217.0,74.77,66.18,70.78,81.76
Polybutylene Fumarate (PBF),17.3,56.49,95.98,245.07,76.22,64.35,93.8,21.47
Polylactic Acid (PLA) Blends,17.18,92.6,102.83,156.36,58.59,63.32,68.78,65.34
Polybutylene Succinate (PBS),64.25,22.49,228.63,186.22,90.77,39.54,58.51,69.04
PLA (Polylactic Acid),72.83,98.09,230.58,197.37,81.81,44.44,68.06,77.12
Recycled HDPE,58.43,71.83,76.78,206.15,58.93,38.62,86.96,84.36
Hemp Fiber Composite,91.96,106.27,35.9,215.28,70.26,48.49,84.32,49.45
Mycelium-based Material,39.97,121.21,15.26,156.93,90.99,49.92,62.81,57.13
Natural Fiber Composite,32.07,118.16,118.0,215.13,79.5,48.67,59.32,21.63
Gelatin,83.68,116.42,148.61,213.6,57.66,46.34,84.47,34.77
Natural Fiber Composite,26.57,74.49,78.53,187.8,70.21,82.01,85.18,28.99
Starch-based Polymer,92.05,58.44,76.04,231.82,64.03,87.66,70.97,34.97
Starch-based Polymer,7.86,69.51,98.84,158.27,77.08,54.24,92.8,94.4
Cellulose Acetate,92.64,93.26,76.82,219.12,92.56,52.75,99.0,87.17
Polylactic Acid (PLA) Blends,10.6,113.75,216.73,181.12,73.22,89.39,63.62,49.72
Polybutylene Fumarate (PBF),85.67,42.27,166.07,221.58,73.08,74.43,80.63,78.87
Recycled HDPE,53.5,117.36,209.8,167.69,95.5,51.95,54.44,53.65
Recycled HDPE,94.69,106.48,217.21,217.06,79.87,80.53,86.86,71.34
Thermoplastic Starch (TPS),13.31,123.77,117.23,210.77,79.39,55.43,73.17,45.97
Gelatin,55.81,113.36,127.23,154.5,64.94,71.89,63.05,54.88
Nano-cellulose Composite,92.59,49.97,244.79,181.06,81.37,99.5,88.65,87.39
Paper-based Composite,53.09,31.6,206.96,214.21,79.86,52.51,91.33,73.19
Chitosan,62.5,32.26,202.51,192.84,71.35,95.28,59.29,92.35
Recycled PET (rPET),68.37,51.16,152.17,241.38,99.56,53.8,56.08,70.81
Polybutylene Adipate Terephthalate (PBAT),47.02,85.26,123.37,158.43,94.39,68.74,69.5,76.96
Cork Composite,62.34,105.34,225.23,177.34,88.11,63.28,82.87,75.93
Natural Fiber Composite,58.51,115.36,204.07,238.35,78.02,85.25,90.54,33.52
Polybutylene Adipate Terephthalate (PBAT),86.56,86.27,136.45,158.68,74.45,36.15,79.21,22.61
Polybutylene Adipate Terephthalate (PBAT),10.8,21.0,78.57,220.39,61.28,74.64,80.8,90.47
Poly(3-hydroxybutyrate) (PHB),31.65,40.08,49.61,188.54,67.02,83.73,90.83,22.7
Polycaprolactone (PCL),90.92,30.94,144.89,157.08,89.26,64.11,78.42,38.68
Blended Starch,85.6,58.77,84.57,203.64,74.05,39.16,82.19,91.52
Polybutylene Adipate Terephthalate (PBAT),47.12,73.35,77.09,247.26,94.41,48.65,77.84,77.38
Cork Composite,61.68,24.99,39.86,226.4,59.53,78.22,94.52,36.63
Bagasse Fiber Composite,31.34,57.21,23.1,203.35,76.65,92.89,64.99,64.59
Hemp Fiber Composite,23.43,39.33,199.09,200.53,83.23,60.67,66.29,54.27
Coconut Coir Composite,47.83,88.73,40.38,233.58,77.05,70.11,60.06,42.94
Seaweed/Kelp-based Polymer,38.06,69.43,223.82,219.85,94.74,47.53,91.73,22.84
Mycelium-based Material,58.45,72.71,65.24,173.24,99.5,60.03,73.06,35.53
Blended Starch,13.66,65.57,193.52,209.37,58.0,54.9,70.13,53.61
PLA (Polylactic Acid),93.04,121.36,208.4,200.81,58.67,76.58,99.15,76.47
Bagasse Fiber Composite,94.09,43.08,201.25,178.93,58.69,98.96,96.65,49.56
Seaweed/Kelp-based Polymer,68.59,74.96,220.12,223.61,84.86,87.3,98.72,25.82
Jute Fiber Composite,54.24,98.13,94.83,245.69,70.2,45.07,60.72,34.36
Nano-cellulose Composite,34.18,79.21,246.68,237.8,87.33,71.28,95.02,76.75
Recycled PP,78.83,118.51,80.7,207.77,71.76,36.52,69.25,92.71
Recycled HDPE,67.4,60.32,234.56,225.21,82.31,48.79,54.78,41.9
Polybutylene Succinate (PBS),21.18,69.37,117.8,209.53,89.07,43.71,72.12,65.42
Polybutylene Succinate (PBS),87.42,29.76,28.38,204.02,78.54,54.82,77.52,71.06
Blended Starch,79.6,84.71,199.46,157.6,78.13,78.16,59.16,26.55
Seaweed/Kelp-based Polymer,90.87,50.84,200.04,205.28,56.69,65.96,78.83,91.8
Polylactic Acid (PLA) Blends,71.03,37.34,61.37,222.55,72.01,95.44,91.73,64.31
Poly(3-hydroxybutyrate) (PHB),61.09,77.91,208.53,205.93,78.42,46.47,71.5,60.44
Recycled HDPE,43.81,76.62,52.03,211.12,74.44,56.77,70.35,60.59
Polybutylene Fumarate (PBF),89.35,28.42,50.59,162.14,95.29,54.43,69.72,23.26
Natural Fiber Composite,83.45,94.13,205.1,160.27,95.56,48.05,96.48,63.62
Poly(3-hydroxybutyrate) (PHB),10.78,86.27,83.2,196.46,91.54,99.54,56.43,27.85
Recycled LDPE,9.11,40.37,33.07,153.91,70.33,58.33,74.58,52.24
Alginate,40.11,69.98,239.74,235.32,86.57,95.95,66.32,26.69
Recycled LDPE,78.54,96.47,145.9,152.87,71.28,58.55,95.14,36.63
Recycled PP,94.18,76.31,120.3,155.98,63.55,45.88,58.6,49.89
Polycaprolactone (PCL),20.1,62.17,133.47,224.79,68.79,40.11,73.04,41.98
Paper-based Composite,59.38,54.45,172.56,181.6,55.87,90.18,72.83,63.06
Recycled LDPE,40.5,84.86,217.49,206.42,68.26,34.18,94.89,57.29
PHA (Polyhydroxyalkanoates),92.65,119.57,173.06,152.62,74.39,97.58,64.07,26.73
Alginate,81.33,91.34,188.79,179.29,97.89,60.44,83.74,75.62
Paper-based Composite,81.0,28.3,57.34,204.38,67.39,48.82,60.36,52.86
Recycled LDPE,48.27,69.05,105.26,171.49,95.37,73.99,97.89,57.46
Paper-based Composite,43.5,114.47,152.43,214.82,63.37,41.04,81.36,86.59
Polylactic Acid (PLA) Blends,30.98,30.38,160.56,225.69,61.57,36.91,82.88,31.71
Recycled PP,11.77,124.83,78.61,184.66,77.15,88.29,74.07,42.78
Polybutylene Adipate Terephthalate (PBAT),83.33,120.62,244.12,178.85,84.44,60.88,69.88,62.91
Polybutylene Adipate Terephthalate (PBAT),78.75,28.68,42.77,216.82,54.61,67.24,63.94,51.26
Seaweed/Kelp-based Polymer,95.29,118.97,41.39,217.27,63.0,44.02,81.86,57.48
Jute Fiber Composite,95.01,58.75,68.85,171.52,74.14,36.18,97.92,24.73
Recycled LDPE,55.95,109.6,192.17,168.72,68.22,57.01,70.68,77.82
Recycled HDPE,74.86,64.59,23.59,247.07,86.35,66.42,94.65,40.17
Poly(3-hydroxybutyrate) (PHB),90.42,66.96,247.15,221.85,76.78,84.05,61.01,90.94
Gelatin,82.0,87.38,247.12,174.57,60.12,66.07,97.07,73.33
Maleic Anhydride Grafted (MAG) Polymers,28.68,102.19,52.53,216.04,94.99,85.21,70.25,23.58
Alginate,46.67,23.98,109.28,172.2,66.41,39.85,71.59,30.74
Chitosan,18.21,83.04,62.92,232.2,87.23,36.35,75.4,50.37
Recycled LDPE,91.24,40.13,110.88,211.66,89.55,42.8,87.1,56.46
Nano-cellulose Composite,60.44,56.94,140.22,181.98,98.25,84.5,87.16,21.68
Gelatin,27.02,57.15,208.34,191.36,76.18,83.63,76.17,55.58
Polybutylene Succinate (PBS),66.25,69.94,23.41,244.43,81.75,41.61,78.16,61.83
Recycled PP,61.5,55.69,246.92,207.82,68.41,34.11,55.57,92.49
Alginate,38.49,31.75,236.03,205.89,84.71,78.6,68.14,24.98
Recycled LDPE,16.83,35.79,149.05,175.17,74.51,90.16,70.05,43.99
Recycled PP,66.23,23.94,128.01,187.27,73.29,83.28,79.79,26.95
Recycled PP,52.84,70.06,144.4,236.58,93.13,45.79,79.77,90.75
PLA (Polylactic Acid),75.15,121.19,19.33,205.2,54.88,71.7,86.71,56.38
Mycelium-based Material,52.83,32.62,188.36,220.33,94.39,83.5,87.04,94.96
Nano-cellulose Composite,82.22,120.33,131.66,188.45,92.97,49.4,64.97,80.31
Recycled PET (rPET),55.64,97.85,82.22,239.17,76.55,67.89,89.47,29.07
Coconut Coir Composite,56.44,87.72,123.46,186.78,75.78,53.38,55.1,20.16
Polybutylene Fumarate (PBF),84.39,88.54,83.75,176.35,69.69,47.34,87.0,57.03
Nano-cellulose Composite,42.5,107.7,179.49,218.71,99.72,97.93,58.87,31.84
Recycled HDPE,18.64,31.7,159.39,229.9,57.78,94.06,87.62,31.43
Seaweed/Kelp-based Polymer,9.33,73.71,106.2,175.01,80.54,62.31,78.34,71.12
Alginate,73.63,94.02,88.85,196.32,84.88,41.3,74.23,61.52
PHA (Polyhydroxyalkanoates),61.7,82.37,221.34,171.94,96.88,81.5,85.83,84.51
Blended Starch,69.11,108.34,175.33,188.2,89.56,49.39,55.87,40.41
Poly(3-hydroxybutyrate) (PHB),25.63,28.04,183.21,206.91,83.08,43.46,64.43,88.67
Cellulose Acetate,18.85,93.34,160.37,235.3,58.05,57.94,82.43,26.74
Recycled PET (rPET),8.07,76.8,32.68,188.35,70.25,68.03,93.0,39.17
Polyhydroxyvalerate (PHV),37.82,60.45,28.93,196.04,59.09,38.63,71.65,83.22
Seaweed/Kelp-based Polymer,59.01,56.34,115.86,159.64,94.36,70.88,66.05,48.3
Coconut Coir Composite,41.51,85.96,233.67,193.74,88.11,33.04,77.96,53.97
Alginate,45.51,114.49,138.31,222.37,88.48,92.65,82.7,91.4
PHA (Polyhydroxyalkanoates),86.83,72.8,220.83,205.74,83.48,94.61,73.44,75.69
Recycled PP,37.61,107.49,37.69,238.84,76.58,81.85,94.35,74.91
Maleic Anhydride Grafted (MAG) Polymers,52.28,62.87,185.2,207.88,59.62,63.73,78.17,57.01
Nano-cellulose Composite,76.16,31.22,72.65,204.84,68.16,49.33,55.84,94.2
Nano-cellulose Composite,41.89,26.9,138.26,215.46,59.0,82.6,64.42,34.04
Alginate,61.85,25.83,83.84,229.98,86.93,95.36,74.84,69.95
Recycled HDPE,83.13,60.55,182.4,152.98,60.11,42.78,86.16,79.01
Polylactic Acid (PLA) Blends,90.84,56.02,109.21,221.6,85.85,63.68,64.26,22.92
Gelatin,19.8,96.22,123.61,167.32,85.38,53.44,98.91,48.77
Mycelium-based Material,88.81,98.84,72.66,156.32,74.32,56.26,68.79,94.31
Polybutylene Fumarate (PBF),50.35,25.78,81.14,214.28,58.92,59.59,78.59,30.36
Polybutylene Adipate Terephthalate (PBAT),29.64,43.76,57.18,225.15,67.45,96.72,55.07,65.21
Recycled PP,47.43,49.37,145.14,207.74,67.7,49.59,94.73,30.85
Recycled PP,93.54,78.23,49.07,200.56,85.77,65.5,90.33,56.16
Nano-cellulose Composite,50.39,35.67,78.03,179.3,57.9,96.7,63.15,91.1
Cellulose Acetate,35.88,34.55,139.66,166.46,91.88,64.37,96.94,81.24
Polylactic Acid (PLA) Blends,62.85,120.06,79.59,204.06,88.65,90.72,68.67,92.52
Poly(3-hydroxybutyrate) (PHB),28.04,105.33,153.3,225.94,61.35,36.0,85.9,29.74
Recycled LDPE,13.5,39.49,18.33,185.04,86.66,96.81,91.71,51.07
Recycled LDPE,18.19,63.34,243.71,174.89,84.25,44.75,88.13,61.23
Bagasse Fiber Composite,18.12,57.96,186.55,202.23,88.04,98.64,96.23,42.19
Polylactic Acid (PLA) Blends,20.23,103.93,133.4,156.8,61.47,43.94,93.78,67.21
Recycled HDPE,19.07,74.28,231.4,240.53,59.99,62.22,99.75,57.41
Recycled PET (rPET),63.52,33.91,219.4,213.67,63.73,52.99,62.56,30.44
Starch-based Polymer,22.88,98.44,101.14,197.86,69.88,61.46,68.16,34.09
Poly(3-hydroxybutyrate) (PHB),37.38,62.32,42.29,200.91,90.2,49.04,83.34,64.85
Thermoplastic Starch (TPS),86.17,48.17,74.27,207.07,87.55,97.64,87.77,35.82
Seaweed/Kelp-based Polymer,48.74,60.06,64.04,247.79,96.46,52.79,78.68,73.92
Hemp Fiber Composite,65.88,72.97,191.26,180.63,55.28,76.42,57.59,27.34
Poly(3-hydroxybutyrate) (PHB),22.04,56.64,143.81,157.86,53.05,41.35,92.75,37.91
Gelatin,23.8,45.95,214.77,240.08,85.71,88.06,98.21,77.59
Alginate,10.4,62.49,130.08,244.81,65.77,68.89,72.77,42.28
Recycled HDPE,21.74,22.43,195.89,211.97,68.37,98.6,64.5,78.76
Bagasse Fiber Composite,31.44,101.98,91.0,214.66,78.47,60.79,55.08,66.9
Chitosan,22.45,38.46,156.51,168.74,57.36,45.29,65.07,83.11
Polyhydroxyvalerate (PHV),14.63,25.05,165.26,150.66,83.03,55.53,86.26,54.47
Recycled PET (rPET),17.46,89.43,193.43,213.21,67.94,82.11,95.95,83.31
Thermoplastic Starch (TPS),47.57,102.13,202.88,227.12,82.55,76.82,58.48,81.01
Coconut Coir Composite,25.05,106.34,79.98,156.58,92.12,84.93,79.54,79.79
Maleic Anhydride Grafted (MAG) Polymers,39.03,72.52,105.49,232.52,60.63,37.0,86.06,89.03
Bagasse Fiber Composite,51.35,42.09,63.68,197.83,96.72,71.47,66.86,54.03
Poly(3-hydroxybutyrate) (PHB),67.9,98.25,190.74,233.04,77.71,95.39,80.3,23.12
Polylactic Acid (PLA) Blends,10.26,94.29,78.62,160.63,96.34,39.34,86.96,76.42
Recycled PP,77.55,46.41,106.89,213.37,62.37,38.41,92.57,23.56
Polybutylene Fumarate (PBF),62.37,115.8,203.71,219.92,81.22,80.73,74.92,76.68
Mycelium-based Material,14.02,31.43,94.85,202.6,71.68,53.43,88.45,29.77
Jute Fiber Composite,84.12,124.17,83.5,215.61,89.28,76.78,68.02,62.21
Polyhydroxyvalerate (PHV),88.3,111.24,168.03,208.46,81.28,69.09,63.96,35.09
Starch-based Polymer,12.19,93.05,244.21,191.23,75.99,99.05,62.78,75.7
Recycled PP,31.29,119.53,29.72,228.14,95.87,92.46,70.64,68.5
Cellulose Acetate,78.15,96.68,211.18,244.39,70.41,78.11,55.84,56.79
Nano-cellulose Composite,73.02,40.52,43.58,223.84,62.95,49.79,67.16,32.5
Recycled LDPE,23.12,67.1,96.05,171.4,81.38,49.81,84.07,59.74
Thermoplastic Starch (TPS),25.31,27.96,112.93,219.16,82.14,91.99,83.87,45.11
Blended Starch,39.58,61.55,183.9,214.89,73.36,71.8,57.57,74.68
Coconut Coir Composite,49.67,98.72,232.74,154.72,75.61,85.67,67.36,78.42
